,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
52 돈까스,"미트소스돈까스
9,000원","브라운소스 돈까스
8,000원","돈까스&스파게티
10,000원","돈까스&볶음밥
9,000원","누들돈까스
10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창원한양족발,"한양족발(소)
한양족발(소)
25,000원","이미지 준비중
한양족발(중)
30,000원","이미지 준비중
한양족발(대)
35,000원","이미지 준비중
보쌈(소)
25,000원","이미지 준비중
보쌈(중)
30,000원","이미지 준비중
보쌈(대)
35,000원","이미지 준비중
냉채족발(소)
28,000원","이미지 준비중
냉채족발(중)
33,000원","이미지 준비중
냉채족발(대)
38,000원","이미지 준비중
숯불불족(소)
25,000원","이미지 준비중
숯불불족(대)
30,000원","이미지 준비중
반반세트(소)
30,000원","이미지 준비중
반반세트(중)
37,000원","이미지 준비중
반반세트(대)
42,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고씨고기 본점,"숙성 삼겹살
숙성 삼겹살
두꺼운 숙성 통삼겹살
3,490원","숙성 목살
숙성 목살
두꺼운 숙성 통목살
3,490원","숙성 오겹살
숙성 오겹살
두꺼운 숙성 통오겹살
3,990원","이미지 준비중
숙성 항정살
4,990원","이미지 준비중
숙성 가브리살
4,990원","양념목갈비
양념목갈비
5,990원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가랑식육식당,"돌판두루치기+된장찌개_점심
7,000원","육회비빔밥+된장찌개_점심
7,000원","한우곰탕_점심
6,000원","한우육회
20,000원","해물된장찌개
6,000원","김치찌개
6,000원","한우국밥
6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김밥일번지 해운점,"일번지김밥
2,800원","콩나물비빔밥
5,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
커즈트러블,,,,,"인절미연유라떼 (only ice)
5,500원
주문하기","수제요거트
6,000원
주문하기","자몽에이드(수제청)
5,500원
주문하기","로얄밀크티 (only ice)
6,000원
주문하기","플랫화이트
5,000원
주문하기","까눌레(바닐라)
3,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
만날재삼계탕,식사요리,안주/세트요리,추가메뉴,"뽕잎삼계탕
15,000원","쑥삼계탕
15,000원","전복삼계탕
17,000원","참옻삼계탕
17,000원","만날재삼계탕
14,000원","만날재닭곰탕
10,000원","닭육개장
8,000원","닭칼국수
7,000원","닭똥집 철판볶음
12,000원","전복추가
4,000원","볶음밥
2,000원","칼국수사리
2,000원","공깃밥
1,000원","소주
4,000원","맥주
4,000원","막걸리
3,000원","담금주
3,000원","음료수
1,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
합천황토한우식육식당,"흑돼지삼겹살
흑돼지삼겹살
합천황토한우식육식당은 한우와 흑돼지고기 생숯에 직화구이 하여 특별한 진미를 맛보실 수 있습니다. #댓거리맛집 #신마산맛집 #마산맛집 #월영동맛집 #해운동맛집
9,000원","이미지 준비중
콩국수
5,000원","이미지 준비중
비빔국수
5,000원","이미지 준비중
열무국수
4,000원","이미지 준비중
냉국수
4,000원","이미지 준비중
돼지갈비
8,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무지개맥주 경남대점,"1000cc
1000cc
대표
드라이아이스와 함께 마지막 한방울까지 시원하게 마실 수 있고 보는 즐거움까지 있는 생맥주!
7,900원","후라이드순살치킨
후라이드순살치킨
대표
국내산 냉장 닭다리살만 사용하여 촉촉하게 튀겨낸 치킨!
15,900원","즉석차돌박이국물떡볶이
즉석차돌박이국물떡볶이
대표
매콤한 떡볶이에 고소한 차돌이 올라가 맛이 두배!
16,900원","로제치킨파스타
로제치킨파스타
대표
꾸덕매콤한 로제파스타에 치킨과 빵을 찍어 한 입!
13,900원","달콤버터갈릭감자튀김
달콤버터갈릭감자튀김
바삭하게 튀겨진 감자튀김을 달콤한 시즈닝에 버무려 갈릭버터 소스로 마무리!
6,900원","통마늘모래집볶음
통마늘모래집볶음
소주 안주도 빠질 수 없다!! 꼬소한 모래집과 마늘의 콜라보!
14,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
육도갈비,"생갈비
9,000원","양념갈비
9,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
