               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.034125,            0.017266,             0.10864,             0.77103,            0.071052,            0.049909,            0.036984,            0.018903,            0.007048,            0.073386,            0.003333,            0.003333,            0.070003
                   1,            0.034285,            0.015387,            0.083045,             0.42098,             0.36665,             0.27713,              0.2064,            0.018808,           0.0069366,            0.047552,           0.0065343,           0.0065343,            0.039871
                   2,             0.03665,            0.015893,            0.071224,             0.45285,             0.42976,             0.36786,             0.27647,            0.018962,           0.0069799,            0.040916,           0.0096037,           0.0096037,            0.009607
                   3,            0.035574,            0.015787,            0.064399,             0.47793,             0.45558,              0.4186,             0.31643,            0.018748,           0.0069806,            0.037469,            0.009406,            0.009406,            0.009406
                   4,            0.034237,            0.015473,            0.058234,             0.49792,             0.48271,             0.45442,             0.34588,            0.018336,           0.0069268,            0.034835,            0.009406,            0.009406,            0.009406
                   5,             0.03357,            0.015349,            0.054943,             0.51153,             0.50411,              0.4837,             0.36954,            0.018068,           0.0068843,            0.033002,            0.009208,            0.009208,            0.009208
                   6,            0.033075,            0.015201,            0.052048,             0.52319,             0.51768,             0.50534,             0.38753,            0.017846,           0.0068486,             0.03142,             0.00901,             0.00901,             0.00901
                   7,            0.032939,             0.01513,            0.050342,             0.53732,               0.535,              0.5272,             0.40596,            0.017653,           0.0068043,            0.029872,            0.008812,            0.008812,            0.008812
                   8,            0.032676,            0.015034,            0.048811,             0.54874,             0.54859,             0.54814,             0.42338,            0.017481,           0.0067523,            0.028279,            0.008614,            0.008614,            0.008614
                   9,            0.032517,            0.015006,            0.048066,             0.56522,             0.55997,             0.56855,             0.44024,            0.017306,           0.0067015,            0.026741,            0.008416,            0.008416,            0.008416
                  10,            0.032397,            0.014988,            0.046753,              0.5766,             0.57691,             0.58835,             0.45731,            0.017116,           0.0066467,              0.0252,            0.008218,            0.008218,            0.008218
                  11,            0.031995,            0.014899,            0.045976,             0.58179,             0.60007,             0.60625,             0.47219,            0.016962,           0.0066018,            0.023801,             0.00802,             0.00802,             0.00802
                  12,            0.031933,            0.014822,            0.044897,             0.59517,             0.60926,              0.6234,             0.48698,            0.016799,           0.0065552,            0.022544,            0.007822,            0.007822,            0.007822
                  13,            0.031936,            0.014839,            0.044065,             0.59946,             0.62057,             0.63803,             0.50012,            0.016669,           0.0065174,            0.021437,            0.007624,            0.007624,            0.007624
                  14,            0.031809,            0.014779,            0.043962,             0.60843,             0.63274,             0.65117,             0.51102,            0.016558,           0.0064843,            0.020513,            0.007426,            0.007426,            0.007426
                  15,            0.031457,            0.014731,            0.043037,             0.61294,             0.64167,             0.66183,             0.52114,            0.016453,           0.0064566,            0.019731,            0.007228,            0.007228,            0.007228
                  16,            0.031508,            0.014643,            0.041753,             0.62567,             0.64703,             0.67233,              0.5296,            0.016379,           0.0064304,             0.01898,             0.00703,             0.00703,             0.00703
                  17,            0.031095,            0.014673,            0.041367,             0.62898,             0.65961,             0.68128,             0.53784,            0.016263,           0.0064074,            0.018296,            0.006832,            0.006832,            0.006832
                  18,            0.031098,            0.014655,            0.041487,             0.63161,             0.67375,                0.69,             0.54611,            0.016172,           0.0063885,            0.017717,            0.006634,            0.006634,            0.006634
                  19,            0.030815,            0.014624,            0.040665,             0.63676,             0.68119,             0.69655,             0.55212,            0.016065,           0.0063699,            0.017232,            0.006436,            0.006436,            0.006436
                  20,            0.030627,            0.014527,             0.03958,             0.64792,             0.68421,             0.70349,             0.55883,            0.015965,           0.0063536,            0.016729,            0.006238,            0.006238,            0.006238
                  21,            0.030565,              0.0145,            0.039408,             0.65557,             0.68741,             0.71023,             0.56503,            0.015871,           0.0063388,            0.016257,             0.00604,             0.00604,             0.00604
                  22,            0.030284,              0.0145,            0.038796,             0.66065,             0.69201,             0.71609,             0.57038,            0.015791,           0.0063249,            0.015855,            0.005842,            0.005842,            0.005842
                  23,            0.030187,            0.014462,            0.038565,             0.66198,             0.69769,             0.72092,             0.57541,            0.015698,           0.0063099,            0.015473,            0.005644,            0.005644,            0.005644
                  24,            0.029971,             0.01438,            0.037569,             0.66676,              0.7023,              0.7261,             0.58076,            0.015604,           0.0063006,            0.015115,            0.005446,            0.005446,            0.005446
                  25,            0.029865,            0.014345,            0.037507,             0.67085,             0.70663,             0.72998,             0.58437,            0.015513,           0.0062929,            0.014781,            0.005248,            0.005248,            0.005248
                  26,            0.029548,            0.014266,            0.036396,             0.67594,              0.7065,             0.73408,             0.58795,            0.015437,           0.0062797,             0.01444,             0.00505,             0.00505,             0.00505
                  27,            0.029436,            0.014238,            0.036288,             0.67707,             0.71031,             0.73615,             0.58991,            0.015386,           0.0062652,            0.014124,            0.004852,            0.004852,            0.004852
                  28,            0.029089,            0.014202,            0.035466,             0.67925,             0.71465,             0.74036,             0.59345,            0.015294,           0.0062505,            0.013824,            0.004654,            0.004654,            0.004654
                  29,            0.028878,            0.014172,            0.034915,             0.67428,             0.72522,             0.74455,             0.59767,            0.015206,           0.0062405,            0.013527,            0.004456,            0.004456,            0.004456
                  30,            0.028737,             0.01413,             0.03454,             0.67775,             0.72839,             0.74753,             0.60123,             0.01513,           0.0062256,            0.013256,            0.004258,            0.004258,            0.004258
                  31,            0.028362,            0.014066,             0.03413,             0.68416,             0.72935,             0.75112,             0.60486,            0.015059,           0.0062123,            0.012991,             0.00406,             0.00406,             0.00406
                  32,            0.028162,            0.013985,            0.033186,             0.68436,             0.73732,             0.75498,             0.60915,            0.014976,           0.0062011,            0.012737,            0.003862,            0.003862,            0.003862
                  33,            0.028035,            0.013991,            0.032801,             0.69059,             0.73467,             0.75877,             0.61282,            0.014907,           0.0061865,            0.012484,            0.003664,            0.003664,            0.003664
                  34,            0.027702,            0.013927,            0.032094,             0.69515,             0.73456,             0.76233,             0.61636,             0.01483,            0.006173,            0.012221,            0.003466,            0.003466,            0.003466
