Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|██████████| 3707/3707 [15:24<00:00,  4.01it/s
                 all     118603     118603      0.769      0.783      0.814      0.687
                   0     118603       1314      0.906      0.965      0.979      0.921
                   1     118603       1244      0.828      0.919      0.941      0.808
                   2     118603        805      0.863      0.956      0.944      0.788
                   3     118603       1030      0.723      0.804      0.863      0.666
                   4     118603        133      0.636      0.958      0.946      0.857
                   5     118603       1478      0.851      0.963      0.971      0.886
                   6     118603       1298       0.89      0.948      0.971      0.862
                   7     118603       1121      0.803      0.916      0.948       0.88
                   8     118603       1635      0.847      0.921       0.96      0.796
                   9     118603        164      0.755      0.823      0.843      0.675
                  10     118603       1160      0.952      0.972      0.985      0.748
                  11     118603       1328      0.783      0.746      0.828      0.674
                  12     118603       1218        0.6      0.809      0.788      0.713
                  13     118603       1510      0.796      0.818      0.846      0.645
                  14     118603         94      0.628      0.947      0.892      0.824
                  15     118603       1353      0.872      0.968      0.972      0.821
                  16     118603        638      0.573      0.755      0.712      0.536
                  17     118603       1288      0.831      0.859      0.908      0.759
                  18     118603        654      0.869      0.904      0.959      0.878
                  19     118603       1953        0.9      0.886      0.937      0.669
                  20     118603       1310      0.779      0.908      0.936      0.848
                  21     118603        802        0.7      0.796      0.839      0.657
                  22     118603        583      0.873       0.99      0.981      0.911
                  23     118603       1535      0.617      0.717      0.708      0.493
                  24     118603       2063      0.831      0.846       0.92      0.756
                  25     118603        776      0.771      0.902       0.86      0.705
                  26     118603       1390      0.686      0.742      0.797      0.667
                  27     118603        127      0.776      0.606      0.719      0.527
                  28     118603       1878      0.783      0.875      0.896      0.744
                  29     118603        404      0.741      0.837      0.823      0.651
                  30     118603        737      0.755      0.716      0.783      0.633
                  31     118603        234      0.517      0.299      0.374      0.236
                  32     118603        844      0.755       0.86       0.87       0.66
                  33     118603        123      0.527      0.602      0.573      0.384
                  34     118603        310      0.577      0.568      0.611      0.506
                  35     118603        235      0.478      0.485      0.495      0.347
                  36     118603        497      0.607      0.779      0.794      0.672
                  37     118603       1013      0.901      0.939      0.933      0.724
                  38     118603         31      0.745      0.839      0.872        0.8
                  39     118603          8          1          0      0.288      0.257
                  40     118603       1125      0.846      0.936      0.922      0.806
                  41     118603       1523      0.704      0.894      0.823      0.692
                  42     118603       1833      0.643      0.584      0.674      0.607
                  43     118603        951      0.687      0.799      0.765       0.63
                  44     118603       1104      0.945      0.968      0.982      0.924
                  45     118603        281       0.57      0.594      0.608      0.534
                  46     118603       1510       0.84      0.923       0.94      0.805
                  47     118603        685      0.748      0.883      0.887      0.714
                  48     118603       1050      0.624      0.562      0.601      0.468
                  49     118603         49      0.328     0.0612       0.19      0.147
                  50     118603        851      0.875        0.9      0.944      0.697
                  51     118603       1918      0.571      0.377      0.488      0.347
                  52     118603         52      0.729      0.962      0.971      0.945
                  53     118603       1172      0.918      0.918      0.955      0.689
                  54     118603       2451       0.93       0.95      0.965      0.715
                  55     118603          6          1          0     0.0435     0.0433
                  56     118603         48      0.742      0.438      0.614      0.468
                  57     118603         54          1          0      0.124      0.116
                  58     118603         40          1          0        0.2      0.186
                  59     118603       1257      0.782      0.942      0.892      0.801
                  60     118603        103      0.668      0.469      0.618      0.569
                  61     118603         33      0.561      0.465      0.542      0.404
                  62     118603         70      0.628      0.243      0.423       0.38
                  63     118603       1000      0.789      0.831      0.873      0.656
                  64     118603         40      0.195      0.025      0.203      0.174
                  65     118603        676      0.904      0.953       0.97      0.859
                  66     118603         99      0.796      0.919      0.924      0.818
                  67     118603       1202      0.851      0.869      0.927      0.856
                  68     118603       1411      0.914      0.962      0.963      0.816
                  69     118603        140      0.802      0.893      0.931      0.748
                  70     118603        457       0.58      0.707      0.619      0.481
                  71     118603        338      0.716      0.891      0.781      0.599
                  72     118603       1945      0.879      0.786      0.876      0.728
                  73     118603        265      0.876      0.804      0.912       0.67
                  74     118603       1416      0.659      0.855      0.801       0.68
                  75     118603        388       0.68      0.745      0.783      0.708
                  76     118603       1134      0.649       0.65      0.747      0.671
                  77     118603       1310       0.91      0.954      0.974        0.9
                  78     118603         91      0.876      0.835      0.959      0.862
                  79     118603       1146      0.652      0.811      0.798      0.696
                  80     118603        712      0.968      0.992      0.994      0.936
                  81     118603       1467      0.885      0.898      0.898      0.642
                  82     118603        207      0.596      0.502      0.535      0.377
                  83     118603        106      0.908      0.934      0.975      0.903
                  84     118603        732      0.635       0.65       0.66      0.451
                  85     118603         96      0.927      0.928      0.965      0.718
                  86     118603       1418      0.858      0.981       0.97      0.892
                  87     118603        219      0.935      0.982      0.992      0.881
                  88     118603       1158      0.923      0.969      0.969      0.848
                  89     118603        302      0.565      0.718       0.71      0.532
                  90     118603        224      0.829      0.955      0.969      0.897
                  91     118603        170      0.987      0.988      0.994      0.926
                  92     118603        630      0.923      0.978      0.978      0.888
                  93     118603        261      0.834      0.923      0.942      0.869
                  94     118603        236      0.542      0.869      0.602      0.504
                  95     118603         61      0.993          1      0.995      0.898
                  96     118603         69      0.892      0.836      0.925      0.806
                  97     118603        418      0.913      0.919      0.971      0.909
                  98     118603         33          1      0.533      0.913       0.86
                  99     118603        111      0.813      0.955      0.951      0.878
                 100     118603        136      0.917      0.818      0.928      0.845
                 101     118603        675      0.869      0.959      0.964      0.867
                 102     118603         16      0.487      0.812      0.581      0.428
                 103     118603       1642      0.913      0.938      0.966      0.854
                 104     118603        215      0.643      0.712      0.771      0.611
                 105     118603         68      0.439      0.598      0.488       0.44
                 106     118603        110      0.788      0.927       0.94      0.884
                 107     118603        285      0.759      0.572      0.752        0.6
                 108     118603        179        0.9      0.805      0.906      0.736
                 109     118603        982      0.705      0.602      0.744      0.576
                 110     118603       1271      0.813       0.67      0.778      0.629
                 111     118603       1522      0.753      0.865      0.863      0.619
                 112     118603        768      0.884      0.811        0.9      0.589
                 113     118603        745      0.876      0.911      0.935        0.8
                 114     118603       1570      0.862      0.929      0.951      0.841
                 115     118603       1203      0.722      0.775      0.839      0.708
                 116     118603        769      0.808        0.8      0.899      0.797
                 117     118603       1278       0.86      0.874      0.935      0.809
                 118     118603       1396      0.784      0.875      0.885      0.767
                 119     118603        189      0.529      0.259      0.416       0.31
                 120     118603        554      0.528      0.803      0.712       0.61
                 121     118603       1431       0.74      0.905      0.905      0.773
