               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030837,            0.016458,            0.082794,             0.66653,             0.23787,             0.21265,             0.16091,            0.015656,           0.0063837,            0.041701,           0.0033332,           0.0033332,            0.070001
                   1,            0.031237,            0.015389,            0.055012,             0.70102,             0.29922,             0.30842,             0.23235,            0.016219,           0.0066502,            0.034175,            0.006584,            0.006584,            0.039919
                   2,             0.03212,            0.015661,            0.051263,             0.79759,             0.10587,             0.20388,             0.14804,            0.019871,            0.009844,            0.043749,           0.0097524,           0.0097524,           0.0097537
                   3,            0.031087,            0.015459,            0.047546,             0.54767,             0.15964,             0.17945,              0.1262,            0.022083,            0.011249,            0.045275,           0.0096288,           0.0096288,           0.0096288
                   4,            0.030227,            0.015253,            0.044659,             0.65815,             0.29213,             0.33031,             0.24392,            0.018715,           0.0083711,             0.03003,           0.0096288,           0.0096288,           0.0096288
                   5,            0.030051,            0.015129,            0.042738,             0.64633,             0.45589,             0.46097,             0.35346,            0.016639,           0.0068457,            0.021848,            0.009505,            0.009505,            0.009505
                   6,            0.029779,            0.015069,            0.041952,               0.659,             0.50988,             0.51751,             0.40269,            0.015863,           0.0064013,            0.018669,           0.0093813,           0.0093813,           0.0093813
                   7,            0.029674,             0.01503,            0.041246,             0.66985,             0.53122,             0.54647,             0.42786,            0.015502,           0.0062562,            0.017086,           0.0092575,           0.0092575,           0.0092575
                   8,            0.029415,             0.01496,            0.040572,             0.67745,             0.54345,             0.56413,             0.44326,            0.015266,           0.0061859,             0.01608,           0.0091337,           0.0091337,           0.0091337
                   9,            0.029322,            0.014933,            0.040271,             0.68247,             0.55158,             0.57632,             0.45402,            0.015134,           0.0061584,             0.01545,             0.00901,             0.00901,             0.00901
                  10,             0.02931,            0.014919,            0.039883,             0.66841,             0.56143,             0.58282,             0.45969,            0.015049,           0.0061466,            0.015078,           0.0088863,           0.0088863,           0.0088863
                  11,            0.029103,            0.014892,            0.039249,             0.67481,             0.57162,             0.59044,             0.46613,             0.01493,           0.0061306,            0.014675,           0.0087625,           0.0087625,           0.0087625
                  12,            0.028988,            0.014847,            0.038827,              0.6576,             0.58046,             0.59749,             0.47181,            0.014862,           0.0061256,            0.014255,           0.0086388,           0.0086388,           0.0086388
                  13,            0.028906,            0.014818,            0.038544,             0.65548,             0.58749,             0.60348,             0.47742,            0.014777,           0.0061116,             0.01398,            0.008515,            0.008515,            0.008515
                  14,             0.02892,            0.014818,            0.038362,             0.65343,             0.59342,              0.6066,              0.4805,             0.01475,           0.0061065,            0.013788,           0.0083913,           0.0083913,           0.0083913
                  15,            0.028745,             0.01473,            0.037749,             0.65623,             0.59912,             0.61446,             0.48746,             0.01467,           0.0060949,            0.013483,           0.0082675,           0.0082675,           0.0082675
                  16,            0.028661,            0.014764,            0.037562,             0.66493,             0.60431,             0.62036,             0.49285,            0.014627,           0.0060841,            0.013295,           0.0081437,           0.0081437,           0.0081437
                  17,            0.028582,            0.014758,            0.037502,             0.67908,             0.60492,               0.624,             0.49626,            0.014612,           0.0060781,            0.013064,             0.00802,             0.00802,             0.00802
                  18,            0.028353,            0.014719,            0.036997,             0.67967,             0.60689,             0.62757,             0.49926,              0.0146,           0.0060715,             0.01298,           0.0078963,           0.0078963,           0.0078963
                  19,            0.028349,            0.014685,            0.036877,             0.67823,             0.60983,              0.6294,             0.50081,            0.014554,           0.0060756,            0.012851,           0.0077725,           0.0077725,           0.0077725
